query_name,fastest_total_time_s,fastest_planning_time_s,fastest_execution_time_s,fastest_source,status,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
q5-008.sql,0.202675,0.013006,0.189669,jn,success,0.22521999999999998,0.207815,0.215086,0.202675
q5-009.sql,0.044057,0.010846,0.033211,ce_jn,success,0.049083,0.044057,0.049625999999999997,0.04634799999999999
q5-010.sql,0.023496,0.007626,0.01587,jn,success,0.025019,0.024281,0.024244,0.023496
q6-001.sql,0.028211,0.008326,0.019885,jn,success,0.031422,0.031311,0.029718,0.028211
q6-002.sql,0.036882,0.008461,0.028421,cm_jn,success,0.05150400000000001,0.050068,0.036882,0.039387
q6-003.sql,0.049950999999999995,0.009215999999999998,0.040735,cm_jn,success,0.056007,0.055925,0.049950999999999995,0.051009
q6-004.sql,0.057477,0.008635,0.048841999999999997,jn,success,0.075517,0.066444,0.066141,0.057477
q6-005.sql,0.030702,0.008424,0.022278,jn,success,0.035822,0.031696,0.031175,0.030702
q6-006.sql,0.467566,0.008525,0.459041,jn,success,0.580128,0.487546,0.5441360000000001,0.467566
q6-007.sql,0.07459299999999999,0.010336999999999999,0.064256,jn,success,0.09241000000000002,0.08610799999999999,0.09059600000000001,0.07459299999999999
q6-008.sql,0.031598,0.008673,0.022925,jn,success,0.032519,0.031826,0.031867,0.031598
q6-009.sql,0.07652199999999999,0.008433999999999999,0.068088,jn,success,0.09090400000000001,0.08086499999999999,0.084174,0.07652199999999999
q6-010.sql,0.032279,0.008454000000000001,0.023825,jn,success,0.03545,0.034796999999999995,0.034103,0.032279
q7-001.sql,1.233486,0.0006720000000000001,1.232814,ce_jn,success,1.2663389999999999,1.233486,1.235872,1.245446
q7-002.sql,1.238844,0.000725,1.238119,cm_jn,success,1.271344,1.248482,1.238844,1.2407160000000002
q7-003.sql,1.21641,0.0010220000000000001,1.215388,jn,success,1.219988,1.22057,1.228653,1.21641
q7-004.sql,5.128863,0.000796,5.128067,cm_jn,success,5.919974,5.920715,5.128863,5.2954289999999995
q7-005.sql,1.225144,0.000839,1.224305,cm_jn,success,1.267125,1.2354649999999998,1.225144,1.250426
q7-006.sql,1.222883,0.000815,1.222068,jn,success,1.278299,1.241169,1.282766,1.222883
q7-007.sql,1.264586,0.0011799999999999998,1.263406,jn,success,1.291669,1.2647220000000001,1.270693,1.264586
q7-008.sql,1.1992900000000002,0.000714,1.198576,all_three,success,1.1992900000000002,1.204756,1.2364659999999998,1.209016
q7-009.sql,5.210519,0.0011799999999999998,5.209339,cm_jn,success,6.0688889999999995,6.074013,5.210519,5.565963
q7-010.sql,1.2287329999999999,0.0017,1.2270329999999998,cm_jn,success,1.2716649999999998,1.256677,1.2287329999999999,1.2530370000000002
q8-001.sql,1.385084,0.088112,1.296972,jn,success,1.607823,1.473347,1.5390540000000001,1.385084
q8-002.sql,0.426608,0.096055,0.330553,ce_jn,success,0.49473100000000003,0.426608,0.47197,0.456879
q8-003.sql,0.739035,0.089592,0.649443,jn,success,0.859049,0.7854810000000001,0.8669769999999999,0.739035
q8-004.sql,1.445666,0.084203,1.3614629999999999,jn,success,1.7788939999999998,1.5711810000000002,1.809021,1.445666
q8-005.sql,1.103372,0.085023,1.018349,jn,success,1.227859,1.1384999999999998,1.2191859999999999,1.103372
q8-006.sql,0.532495,0.098515,0.43398000000000003,ce_jn,success,0.563968,0.532495,0.542293,0.542637
q8-007.sql,0.8787090000000001,0.088022,0.790687,jn,success,0.9458070000000001,0.915259,0.947761,0.8787090000000001
q8-008.sql,0.660883,0.084396,0.576487,jn,success,0.741365,0.6998699999999999,0.730557,0.660883
q8-009.sql,0.635184,0.086997,0.548187,jn,success,0.730926,0.684063,0.6988449999999999,0.635184
