query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
q1-001.sql,0.016672,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.017898999999999998,0.016672,0.018183,0.019562000000000003
q1-002.sql,0.01631,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.01631,0.017333,0.01776,0.016712
q1-003.sql,0.015182,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.016560000000000002,0.015182,0.016882,0.017521000000000002
q1-004.sql,0.020062,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.020062,0.023267,0.024044,0.029418
q1-005.sql,0.013358,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.019266000000000002,0.013358,0.020131999999999997,0.019313000000000004
q1-006.sql,0.01613,jn,success,tee_join_enumerator.jn_generation_limit,10,0.016545,0.016338,0.017452000000000002,0.01613
q1-007.sql,0.012084000000000001,jn,success,tee_join_enumerator.jn_generation_limit,10,0.016558,0.014801,0.017829,0.012084000000000001
q1-008.sql,0.013137000000000001,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.013137000000000001,0.014485,0.018497999999999997,0.017653
q1-009.sql,0.015448000000000002,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.015448000000000002,0.020078,0.018871,0.015764
q1-010.sql,0.024623000000000003,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.024623000000000003,0.038258,0.034300000000000004,0.033148000000000004
q10-001.sql,0.15848099999999998,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.17518499999999998,0.15848099999999998,0.180115,0.17054200000000003
q10-002.sql,0.155748,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.170698,0.155748,0.162282,0.16966799999999999
q10-003.sql,0.146365,cm_jn,success,tee_join_enumerator.jn_generation_limit,10,0.150791,0.14774099999999998,0.146365,0.150154
q10-004.sql,0.146001,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.148877,0.146001,0.14980300000000002,0.149393
q10-005.sql,0.15205999999999997,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.15205999999999997,0.152898,0.15228700000000003,0.15343299999999999
q10-006.sql,0.146261,cm_jn,success,tee_join_enumerator.jn_generation_limit,10,0.1502,0.154916,0.146261,0.15409099999999998
q10-007.sql,0.193944,cm_jn,success,tee_join_enumerator.jn_generation_limit,10,0.201989,0.20975699999999997,0.193944,0.201108
q10-008.sql,0.20676299999999997,jn,success,tee_join_enumerator.jn_generation_limit,10,0.223866,0.209227,0.20916099999999999,0.20676299999999997
q10-009.sql,0.144591,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.148985,0.144591,0.147804,0.14713199999999999
q10-010.sql,0.284068,cm_jn,success,tee_join_enumerator.jn_generation_limit,10,0.29016099999999995,0.29949099999999995,0.284068,0.29121400000000003
q11-001.sql,1.500863,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,1.554961,1.500863,1.606067,1.5599169999999998
q11-002.sql,0.10816799999999999,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.10816799999999999,0.13171000000000002,0.13408000000000003,0.120062
q11-003.sql,0.06473899999999999,jn,success,tee_join_enumerator.jn_generation_limit,10,0.085684,0.07341299999999999,0.07605100000000001,0.06473899999999999
q11-004.sql,1.2081689999999998,jn,success,tee_join_enumerator.jn_generation_limit,10,1.3711389999999999,1.252208,1.497296,1.2081689999999998
q11-005.sql,0.10945899999999999,jn,success,tee_join_enumerator.jn_generation_limit,10,0.11289199999999999,0.109844,0.122135,0.10945899999999999
q11-006.sql,0.489372,all_three,success,tee_join_enumerator.jn_generation_limit,10,0.489372,0.5332790000000001,0.573683,0.542799
q11-007.sql,0.21259,jn,success,tee_join_enumerator.jn_generation_limit,10,0.227829,0.21302,0.225807,0.21259
q11-008.sql,0.23136600000000002,ce_jn,success,tee_join_enumerator.jn_generation_limit,10,0.26624400000000004,0.23136600000000002,0.294175,0.273205
q11-009.sql,0.075372,jn,success,tee_join_enumerator.jn_generation_limit,10,0.075762,0.077825,0.082053,0.075372
