query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
q1-001.sql,0.015957,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.015957,0.020617999999999997,0.019198,0.01905
q1-002.sql,0.016415,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.016415,0.016725,0.018399000000000002,0.016512
q1-003.sql,0.012137,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.012137,0.014956999999999998,0.018187000000000002,0.017360999999999998
q1-004.sql,0.012391,jn,success,tee_join_enumerator.jn_generation_limit,25,0.025351,0.016594,0.023309999999999997,0.012391
q1-005.sql,0.013483000000000002,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.019896,0.013483000000000002,0.020672,0.016817
q1-006.sql,0.014389,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.014988,0.014389,0.018189000000000004,0.017869000000000003
q1-007.sql,0.013276999999999999,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.014578999999999998,0.013276999999999999,0.019176999999999996,0.017255
q1-008.sql,0.014046,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.014046,0.015471,0.019296,0.018057
q1-009.sql,0.01293,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.01293,0.016415,0.015833,0.018295
q1-010.sql,0.017096999999999998,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.023918000000000002,0.017096999999999998,0.032454000000000004,0.018345999999999998
q10-001.sql,0.21949500000000002,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.22548200000000002,0.21949500000000002,0.23982799999999999,0.230831
q10-002.sql,0.221729,jn,success,tee_join_enumerator.jn_generation_limit,25,0.222852,0.22944799999999999,0.23554399999999998,0.221729
q10-003.sql,0.199787,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.199787,0.206733,0.209878,0.202844
q10-004.sql,0.196572,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.20607599999999998,0.196572,0.209934,0.207507
q10-005.sql,0.192278,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.208534,0.192278,0.205037,0.20425300000000002
q10-006.sql,0.190696,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.20262599999999997,0.190696,0.210254,0.203194
q10-007.sql,0.249304,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.258239,0.249304,0.262056,0.273987
q10-008.sql,0.25922100000000003,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.272938,0.25922100000000003,0.282569,0.273262
q10-009.sql,0.200656,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.20628000000000002,0.200656,0.202102,0.20242700000000002
q10-010.sql,0.36456,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.366606,0.36456,0.377263,0.42790900000000004
q11-001.sql,1.4865760000000001,all_three,success,tee_join_enumerator.jn_generation_limit,25,1.4865760000000001,1.6041449999999997,1.570363,1.5562399999999998
q11-002.sql,0.046022,jn,success,tee_join_enumerator.jn_generation_limit,25,0.046544,0.059333,0.051925,0.046022
q11-003.sql,0.06032799999999999,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.061683999999999996,0.06032799999999999,0.081888,0.082104
q11-004.sql,1.1926119999999998,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,1.232752,1.1926119999999998,1.324003,1.353972
q11-005.sql,0.050478,cm_jn,success,tee_join_enumerator.jn_generation_limit,25,0.052094999999999995,0.060093,0.050478,0.060790000000000004
q11-006.sql,0.435014,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.435014,0.508935,0.551106,0.512155
q11-007.sql,0.178505,cm_jn,success,tee_join_enumerator.jn_generation_limit,25,0.20249699999999998,0.22230899999999998,0.178505,0.232665
q11-008.sql,0.13522699999999999,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.143185,0.13522699999999999,0.14366,0.16852100000000003
q11-009.sql,0.038605,ce_jn,success,tee_join_enumerator.jn_generation_limit,25,0.067456,0.038605,0.080525,0.041176000000000004
q11-010.sql,0.184412,all_three,success,tee_join_enumerator.jn_generation_limit,25,0.184412,0.266262,0.22753,0.27174899999999996
