query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
10a.sql,0.436494,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.442064,0.447825,0.436494,0.451626
10b.sql,0.259187,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.261781,0.259187,0.264423,0.26210700000000003
10c.sql,1.6844599999999998,all_three,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,1.6844599999999998,1.7492159999999999,1.964035,1.962828
11a.sql,0.054051,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.16854399999999997,0.054051,0.178306,0.056213
11b.sql,0.035124,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.11508199999999999,0.036437,0.12249499999999999,0.035124
11c.sql,0.069817,all_three,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.069817,0.598564,0.075258,0.6408389999999999
11d.sql,0.148897,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.16647499999999998,0.148897,0.14949500000000002,0.150796
12a.sql,0.154723,all_three,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.154723,0.181558,0.176796,0.180671
12b.sql,0.08330500000000002,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.097565,0.084755,0.088342,0.08330500000000002
12c.sql,0.5649630000000001,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.6080869999999999,0.5814459999999999,0.5649630000000001,0.572747
13a.sql,1.2331360000000002,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,1.257132,1.3161559999999999,1.2331360000000002,1.3096020000000002
13b.sql,0.597467,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.6033,0.610067,0.597467,0.600279
13c.sql,0.560152,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.5716870000000001,0.60269,0.560152,0.5837559999999999
13d.sql,1.823166,all_three,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,1.823166,2.047502,1.8626260000000001,2.044515
14a.sql,0.353837,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,1.158268,0.361712,1.2052289999999999,0.353837
14b.sql,0.183797,all_three,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.183797,0.5494800000000001,0.191712,0.555583
14c.sql,0.643464,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.677322,0.650404,0.643464,0.649784
15a.sql,0.25974800000000003,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.28374699999999997,0.27873599999999993,0.274623,0.25974800000000003
15b.sql,0.040165,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.048347,0.040165,0.051984,0.043614
15c.sql,0.52046,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.733034,0.733184,0.52046,0.728855
15d.sql,0.728418,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.733888,0.732237,0.7414839999999999,0.728418
16a.sql,0.25339900000000004,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.253876,0.44410399999999994,0.25339900000000004,0.421508
16b.sql,11.321204999999999,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,11.83763,11.796519,12.205942,11.321204999999999
16c.sql,1.0613070000000002,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,1.081662,1.1510630000000002,1.133805,1.0613070000000002
16d.sql,0.881019,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.929946,0.9029240000000001,1.2239389999999999,0.881019
17a.sql,6.894216,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,8.987945,8.586516,11.389667000000001,6.894216
17b.sql,7.723147,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,8.215531,7.931585,8.431473,7.723147
17c.sql,7.7258379999999995,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,7.853958,7.7258379999999995,10.431837999999999,7.774565999999999
17d.sql,7.860984,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,7.8887030000000005,7.860984,10.34647,8.195943
17e.sql,7.508188,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,7.62361,7.508188,13.536401,7.869281
17f.sql,8.959749,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,9.396635,8.959749,11.8413,9.294021
18a.sql,4.205366,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,4.271369999999999,4.613188,4.205366,4.64432
18b.sql,0.176534,cm_ce,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.35368599999999994,0.176534,0.328216,0.18889
18c.sql,5.459496,all_three,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,5.459496,5.730040000000001,5.514223,5.669135
19a.sql,0.23127199999999998,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,3.452688,0.239586,3.403529,0.23127199999999998
19b.sql,0.11787799999999998,cm,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,0.44426800000000005,0.120467,0.44678999999999996,0.11787799999999998
19c.sql,1.1379139999999999,cm_jn,success,tee_cost_model.gather_overhead_pct,0.16,0.08,0.06,0.16,0.12,1.1486299999999998,1.2473509999999999,1.1379139999999999,1.246833
