query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
32a.sql,0.015001,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.016971999999999998,0.015001,0.016918,0.015726
32b.sql,0.13823500000000002,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.13929800000000003,0.13823500000000002,0.150916,0.144099
33a.sql,0.31361700000000003,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.06735,0.31361700000000003,1.049774,0.33158899999999997
33b.sql,0.293537,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.289588,0.295029,1.273077,0.293537
33c.sql,0.22737000000000002,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.063326,0.232228,1.063692,0.22737000000000002
3a.sql,0.14983100000000002,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.154177,0.14983100000000002,0.161283,0.156608
3b.sql,0.10348700000000001,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.10763,0.10348700000000001,0.106007,0.10929699999999999
3c.sql,0.24428899999999998,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.27247499999999997,0.24428899999999998,0.247507,0.256596
4a.sql,0.111902,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.11332900000000001,0.111902,0.113333,0.11489300000000001
4b.sql,0.06719300000000002,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.067586,0.071327,0.06719300000000002,0.069486
4c.sql,0.10398500000000001,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.10546699999999999,0.116677,0.10398500000000001,0.11121900000000001
