query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
22d.sql,0.7730530000000001,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.7730530000000001,0.9219160000000001,0.829142,0.942603
23a.sql,0.34133399999999997,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.34133399999999997,0.351248,0.359746,0.35313300000000003
23b.sql,0.08959,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.103346,0.08959,0.10017400000000001,0.108281
23c.sql,0.395888,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.395888,0.40502699999999997,0.415358,0.417303
24a.sql,0.33230099999999996,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.33230099999999996,0.444594,0.34977400000000003,0.434032
24b.sql,0.18127100000000002,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.21945800000000001,0.182361,0.20891200000000001,0.18127100000000002
25a.sql,2.4195260000000003,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,4.064131,2.4195260000000003,4.052884,2.501893
25b.sql,0.337977,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,3.6921139999999997,0.337977,3.7363939999999998,0.343536
25c.sql,4.971727,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,5.064549,8.779939,4.971727,8.706731
26a.sql,1.044237,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,1.044237,1.419231,1.130876,1.378523
26b.sql,0.360986,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.458193,0.366915,1.477806,0.360986
26c.sql,3.417172,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,3.417172,4.234207,3.4659750000000003,4.414681
27a.sql,0.161827,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.177094,0.170788,0.179328,0.161827
27b.sql,0.145598,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.15640300000000001,0.145598,0.18209599999999998,0.160115
27c.sql,0.154158,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.154158,0.161027,0.16615699999999997,0.16831500000000002
28a.sql,1.287273,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.5636,1.287273,1.4449290000000001,1.304219
28b.sql,1.0667879999999998,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.1695069999999999,1.0667879999999998,1.1690019999999999,1.0791300000000001
28c.sql,0.8152429999999999,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.75095,1.218316,1.804798,0.8152429999999999
29a.sql,28.083615,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,43.639258000000005,28.083615,30.255708000000002,28.113282
29b.sql,27.710846,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,27.719302,28.019477000000002,30.161417,27.710846
29c.sql,19.943762000000003,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,19.943762000000003,20.023607999999996,21.343646,20.048453
2a.sql,0.375773,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,3.46087,0.42821400000000004,0.375773,0.42577899999999996
2b.sql,0.359344,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.6560779999999999,0.411659,0.359344,0.41550400000000004
2c.sql,0.39107800000000004,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,4.350663,0.39107800000000004,0.513376,0.41773699999999997
2d.sql,0.519378,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.519378,0.541826,0.5442490000000001,0.537157
30a.sql,2.6623699999999997,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,17.84122,3.705786,2.6623699999999997,3.629632
30b.sql,3.633355,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,6.36094,3.79178,4.613727,3.633355
30c.sql,3.302784,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,7.0387710000000006,3.302784,4.218433,3.376315
31a.sql,1.2344690000000003,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,4.991136,1.237252,4.977226,1.2344690000000003
31b.sql,0.395378,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,4.575301,0.40147599999999994,4.590589,0.395378
31c.sql,1.2769659999999998,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,5.126292,1.2876,5.117775,1.2769659999999998
32a.sql,0.015453999999999999,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.019451000000000003,0.015453999999999999,0.016300000000000002,0.019715999999999997
32b.sql,0.124809,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.277043,0.124809,0.140433,0.137328
33a.sql,0.9684950000000001,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.006258,0.9684950000000001,1.049918,0.975597
33b.sql,1.1733159999999998,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.232174,1.1733159999999998,1.2613720000000002,1.1816829999999998
33c.sql,0.976726,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.001119,0.976726,1.0540319999999999,0.9804099999999999
3a.sql,0.145206,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.22766199999999998,0.15686200000000003,0.145206,0.160875
3b.sql,0.098603,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.098603,0.09874000000000001,0.099584,0.099688
3c.sql,0.23724,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.31983700000000004,0.25881600000000005,0.23724,0.273955
4a.sql,0.10163,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.111055,0.10163,0.10811899999999999,0.104318
4b.sql,0.046488999999999996,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.06617200000000001,0.053225,0.06418299999999999,0.046488999999999996
4c.sql,0.102307,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.108866,0.111287,0.102307,0.106459
5a.sql,0.145556,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.15359099999999998,0.14973,0.17178700000000002,0.145556
5b.sql,0.09877100000000001,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.103094,0.100905,0.112646,0.09877100000000001
5c.sql,0.38105599999999995,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.5388959999999999,0.38105599999999995,0.40776999999999997,0.386107
6a.sql,0.023619,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.341517,0.026382,0.027704,0.023619
6b.sql,0.24017900000000003,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.349556,0.256026,0.24257800000000002,0.24017900000000003
6c.sql,0.009814,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.014693999999999999,0.01524,0.014068,0.009814
6d.sql,4.909639,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,12.414122999999998,6.201159,4.909639,6.457279
6e.sql,0.020037,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.020037,0.020853000000000003,0.022531000000000002,0.020461
6f.sql,5.549410999999999,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,5.578959000000001,6.276273,5.549410999999999,6.174277
7a.sql,0.550531,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.486383,0.935233,0.550531,0.863685
7b.sql,0.19070099999999998,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.261204,0.255741,0.19070099999999998,0.233272
7c.sql,8.208502000000001,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,22.962285,9.236631000000001,8.208502000000001,9.115894999999998
8a.sql,1.39383,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.6849079999999999,1.46847,1.39383,1.3987109999999998
8b.sql,0.138157,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.140145,0.14127,0.138157,0.146336
8c.sql,3.143821,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,3.2586280000000003,3.161777,3.143821,3.180951
8d.sql,1.008102,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,1.008102,1.0389680000000001,1.0349929999999998,1.035696
9a.sql,0.21144800000000002,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.40701800000000005,0.21144800000000002,0.328355,0.219774
9b.sql,0.21294900000000003,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.304434,0.21294900000000003,0.30391,0.215689
9c.sql,0.347186,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.6079180000000001,0.36882,0.347186,0.35198599999999997
9d.sql,1.714809,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,2.935154,5.242637,1.714809,5.254322999999999
