query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
q1-001.sql,0.016745,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.018246000000000002,0.016745,0.019845,0.018398
q1-002.sql,0.016277,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.016277,0.017909,0.018903,0.017121
q1-003.sql,0.015645,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.015645,0.017634,0.018920999999999997,0.020916
q1-004.sql,0.022708,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.026784,0.023202,0.024113,0.022708
q1-005.sql,0.020556,cm_jn,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.022004,0.020955,0.020556,0.020738
q1-006.sql,0.014509,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.016418000000000002,0.018539,0.015667,0.014509
q1-007.sql,0.015648,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.015648,0.01776,0.015769,0.016575
q1-008.sql,0.016255,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.018136000000000003,0.020672999999999997,0.01675,0.016255
q1-009.sql,0.013608,cm_jn,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.01718,0.016923,0.013608,0.016795
q1-010.sql,0.022939,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.039521,0.022939,0.030937,0.028983000000000002
q10-001.sql,0.21758899999999998,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.21758899999999998,0.316524,0.223469,0.317355
q10-002.sql,0.21214600000000003,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.21214600000000003,0.303338,0.214091,0.303191
q10-003.sql,0.186073,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.186073,0.282508,0.192191,0.29466400000000004
q10-004.sql,0.185259,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.185259,0.286246,0.18823900000000002,0.296496
q10-005.sql,0.18320999999999998,cm_jn,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.187681,0.289159,0.18320999999999998,0.29058799999999996
q10-006.sql,0.183654,cm_jn,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.194211,0.28399800000000003,0.183654,0.29324000000000006
q10-007.sql,0.22654699999999997,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.22654699999999997,0.342632,0.24786999999999998,0.34508300000000003
q10-008.sql,0.243608,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.243608,0.36287,0.259119,0.34921899999999995
q10-009.sql,0.172801,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.172801,0.28247500000000003,0.190786,0.28296699999999997
q10-010.sql,0.34746200000000005,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.34746200000000005,0.455998,0.356365,0.417335
q11-001.sql,1.434507,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,1.4910219999999998,1.434507,1.515516,1.585525
q11-002.sql,0.048662,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.052583,0.054440999999999996,0.049908,0.048662
q11-003.sql,0.068901,cm_jn,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.074273,0.07508,0.068901,0.069121
q11-004.sql,1.288503,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,1.356547,1.288503,1.308573,1.3305320000000003
q11-005.sql,0.045363,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.050413,0.045363,0.048661,0.08531799999999999
q11-006.sql,0.452703,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.525632,0.452703,0.5571250000000001,0.45358
q11-007.sql,0.176302,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.20854899999999998,0.203625,0.188384,0.176302
q11-008.sql,0.126439,cm_ce,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.161684,0.126439,0.13790100000000002,0.137701
q11-009.sql,0.077541,all_three,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.077541,0.083878,0.08304,0.077642
q11-010.sql,0.19389499999999998,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.26087800000000005,0.246855,0.267736,0.19389499999999998
q12-001.sql,0.115958,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,1.023955,0.775973,0.9925510000000001,0.115958
q12-002.sql,0.093002,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.43762399999999996,0.431844,0.10320299999999999,0.093002
q12-003.sql,0.09829700000000001,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.657249,0.642334,0.11326699999999999,0.09829700000000001
q12-004.sql,0.655941,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,1.7717570000000002,2.206731,0.766773,0.655941
q12-005.sql,0.05174,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.099937,0.11054900000000001,0.056739,0.05174
q12-006.sql,0.938648,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,3.506853,3.37452,1.0878839999999999,0.938648
q12-007.sql,0.29105400000000003,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.402855,0.353453,0.33281400000000005,0.29105400000000003
q12-008.sql,0.459777,cm,success,tee_cost_model.memoize_overhead_pct,0.18,0.08,0.06,0.1,0.18,0.971625,0.7977120000000001,0.512863,0.459777
