query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
q5-002.sql,0.040486,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.13394499999999998,0.042493,0.128501,0.040486
q5-003.sql,0.032067,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.193749,0.037578,0.18132299999999998,0.032067
q5-004.sql,0.033108,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.135651,0.033631,0.07416900000000001,0.033108
q5-005.sql,0.085466,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.12106799999999998,0.085466,0.128162,0.10282100000000001
q5-006.sql,0.043493000000000004,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.268524,0.043493000000000004,0.252107,0.049594
q5-007.sql,0.047183,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.519288,0.047183,0.483868,0.058568
q5-008.sql,0.038859,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.262635,0.038859,0.220107,0.039363999999999996
q5-009.sql,0.037602,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.05445900000000001,0.040556999999999996,0.055671,0.037602
q5-010.sql,0.025699,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.032683,0.025699,0.033968,0.037402000000000005
q6-001.sql,0.032353999999999994,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.04066,0.032353999999999994,0.040795,0.034089
q6-002.sql,0.034351,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.051088,0.040299,0.050221,0.034351
q6-003.sql,0.037008,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.063877,0.040168,0.056770999999999995,0.037008
q6-004.sql,0.045421,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.06936300000000001,0.056711,0.098011,0.045421
q6-005.sql,0.032191,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.042693999999999996,0.0349,0.039972,0.032191
q6-006.sql,0.029849,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.557776,0.032277,0.5554910000000001,0.029849
q6-007.sql,0.038710999999999995,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.134148,0.040621,0.09298799999999999,0.038710999999999995
q6-008.sql,0.026978,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.037240999999999996,0.029163,0.048545000000000005,0.026978
q6-009.sql,0.030407999999999998,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.116797,0.032922,0.153386,0.030407999999999998
q6-010.sql,0.030566,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.04041,0.030566,0.041553999999999994,0.033517000000000005
