query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
10a.sql,0.002301,0.44149099999999997,0.44379199999999996,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
10b.sql,0.004167,0.251707,0.255874,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
10c.sql,0.004378,1.981151,1.985529,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
11a.sql,0.010336,0.046767,0.057103,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
11b.sql,0.006502,0.028184,0.034686,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
11c.sql,0.009727,0.6216029999999999,0.63133,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
11d.sql,0.009824999999999999,0.14481200000000002,0.15463700000000002,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
12a.sql,0.01047,0.17382499999999998,0.184295,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
12b.sql,0.008566,0.07755,0.086116,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
12c.sql,0.010329000000000001,0.5588,0.569129,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
13a.sql,0.010733000000000001,1.287126,1.297859,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
13b.sql,0.012636,0.597238,0.609874,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
13c.sql,0.014235,0.578693,0.592928,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
13d.sql,0.0146,1.958496,1.973096,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
14a.sql,0.009473,0.356024,0.365497,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
14b.sql,0.008756,0.565381,0.574137,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
14c.sql,0.009562,0.649856,0.659418,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
15a.sql,0.020257,0.260778,0.28103500000000003,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
15b.sql,0.016832999999999997,0.027389,0.044222,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
15c.sql,0.017882000000000002,0.740004,0.757886,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
15d.sql,0.018151,0.712723,0.730874,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
16a.sql,0.009908,0.423745,0.43365299999999996,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
16b.sql,0.011699,11.922028000000001,11.933727000000001,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
16c.sql,0.010691,1.099405,1.110096,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
16d.sql,0.012064,0.942687,0.954751,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
17a.sql,0.006649,7.238007,7.244656,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
