workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_stack_no_geqo,q8-006.sql_round1,cm,0.727789,0.733756,1.0081988048733905
summaries_stack_no_geqo,q8-007.sql_round1,baseline,0.71627,0.71627,1.0
summaries_stack_no_geqo,q8-008.sql_round1,baseline,0.702779,0.702779,1.0
summaries_stack_no_geqo,q8-009.sql_round1,baseline,0.729324,0.729324,1.0
summaries_stack_no_geqo,q8-010.sql_round1,baseline,0.719674,0.719674,1.0
summaries_stack_no_geqo,q9-003.sql_round1,ce_cm,5.945346,34.186229,5.7500823333074305
summaries_stack_no_geqo,q9-071.sql_round1,ce_cm,1.517315,10.543729,6.948938750358364
summaries_stack_no_geqo,q9-072.sql_round1,ce_cm,2.481633,20.911281,8.426419619661731
summaries_stack_no_geqo,q9-073.sql_round1,ce_cm,3.769444,23.246745,6.167154890747813
summaries_stack_no_geqo,q9-074.sql_round1,ce_cm,4.608682,36.550115,7.930708823043117
summaries_stack_no_geqo,q9-096.sql_round1,ce_cm,0.302622,1.921017,6.347909272954379
summaries_stack_no_geqo,q9-097.sql_round1,cm,0.126432,0.276446,2.186519235636548
summaries_stack_no_geqo,q9-098.sql_round1,ce_cm,5.032728,33.858122,6.727588298036374
summaries_stack_no_geqo,q9-099.sql_round1,ce_cm,7.413529,50.798642,6.8521539471957285
summaries_stack_no_geqo,q9-100.sql_round1,cm,0.152404,1.029258,6.7534841605207205
