workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_tpcds_no_geqo,set1_65.sql_round1,cm_jn,48.032974,49.362791,1.0276855020469895
summaries_tpcds_no_geqo,set1_66.sql_round1,baseline,7.336163,7.336163,1.0
summaries_tpcds_no_geqo,set1_68.sql_round1,ce,1.322937,10.631558,8.0363297723172
summaries_tpcds_no_geqo,set1_7.sql_round1,cm,32.235575,32.804823,1.0176589994129157
summaries_tpcds_no_geqo,set1_70.sql_round1,cm,36.214197,43.785018,1.2090567133105286
summaries_tpcds_no_geqo,set1_71.sql_round1,ce_cm,3.568205,12.677801,3.5529912098660255
summaries_tpcds_no_geqo,set1_72.sql_round1,ce_cm,9.118164,17.069219,1.872001753861852
summaries_tpcds_no_geqo,set1_73.sql_round1,ce_jn,1.04509,10.407464,9.958438029260636
summaries_tpcds_no_geqo,set1_75.sql_round1,cm,41.837086,42.172505,1.0080172648735621
summaries_tpcds_no_geqo,set1_76.sql_round1,jn,2.941022,3.221108,1.0952342417023744
summaries_tpcds_no_geqo,set1_77.sql_round1,ce_jn,4.954764,13.194404,2.6629732516018927
summaries_tpcds_no_geqo,set1_78.sql_round1,baseline,39.049133,39.049133,1.0
summaries_tpcds_no_geqo,set1_79.sql_round1,baseline,12.830003,12.830003,1.0
summaries_tpcds_no_geqo,set1_8.sql_round1,all_three,2.643644,11.178618,4.228488404641472
summaries_tpcds_no_geqo,set1_80.sql_round1,cm,4.050825,4.500935,1.1111156369381547
summaries_tpcds_no_geqo,set1_82.sql_round1,cm_jn,0.186841,0.197332,1.0561493462355693
summaries_tpcds_no_geqo,set1_83.sql_round1,ce,0.666832,0.677265,1.0156456198862682
summaries_tpcds_no_geqo,set1_84.sql_round1,ce_jn,0.048734,0.366497,7.5203553986949565
summaries_tpcds_no_geqo,set1_85.sql_round1,ce_jn,0.62449,0.63701,1.0200483594613203
summaries_tpcds_no_geqo,set1_86.sql_round1,ce_cm,5.482823,5.822877,1.06202169940558
summaries_tpcds_no_geqo,set1_87.sql_round1,cm_jn,37.148007,37.7004,1.0148700574972973
summaries_tpcds_no_geqo,set1_89.sql_round1,ce_jn,5.47187,13.109292,2.3957608642018178
summaries_tpcds_no_geqo,set1_9.sql_round1,baseline,23.488236,23.488236,1.0
summaries_tpcds_no_geqo,set1_90.sql_round1,baseline,5.215827,5.215827,1.0
summaries_tpcds_no_geqo,set1_91.sql_round1,baseline,0.236491,0.236491,1.0
summaries_tpcds_no_geqo,set1_93.sql_round1,baseline,1.432233,1.432233,1.0
summaries_tpcds_no_geqo,set1_94.sql_round1,all_three,2.861252,2.873841,1.0043998221757469
summaries_tpcds_no_geqo,set1_96.sql_round1,ce,0.566323,10.166414,17.951617716391528
summaries_tpcds_no_geqo,set1_97.sql_round1,baseline,42.751406,42.751406,1.0
summaries_tpcds_no_geqo,set1_98.sql_round1,ce_cm,0.785458,10.554072,13.436838125017506
