query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
16d.sql,0.913393,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.913393,1.295618,1.2552979999999998,0.920967
17a.sql,9.047799999999999,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.086378,10.490401,10.690561,9.047799999999999
17b.sql,8.340428999999999,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.399536999999999,9.060140999999998,9.275936,8.340428999999999
17c.sql,7.8609659999999995,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,7.8609659999999995,8.563518,8.806458000000001,8.19106
17d.sql,8.295141999999998,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.389243,9.063187999999998,8.886677999999998,8.295141999999998
17e.sql,7.856265,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,7.857539,11.692912,11.760673,7.856265
17f.sql,9.382452999999998,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.403618,11.213636,11.331101,9.382452999999998
18a.sql,3.894228,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.013523999999999,4.022289000000001,3.894228,3.997318
18b.sql,0.182061,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.349129,0.19427500000000003,0.182061,0.184894
18c.sql,5.004407,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.194207,5.155327,5.004407,5.103265
19a.sql,0.22196300000000002,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.404952,0.250419,0.22196300000000002,0.229263
19b.sql,0.10704,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.441003,0.130418,0.10704,0.119837
19c.sql,1.194327,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.194327,1.1994669999999998,1.200626,1.245107
19d.sql,2.875455,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,2.875455,3.438557,4.297731,4.292995
1a.sql,0.084607,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.085088,0.084607,0.08682,0.08984999999999999
1b.sql,0.07526100000000001,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.08387700000000001,0.077667,0.07526100000000001,0.07860500000000001
1c.sql,0.08088100000000001,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.081437,0.08088100000000001,0.088411,0.081946
1d.sql,0.075091,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.07818000000000001,0.07868699999999999,0.080935,0.075091
20a.sql,2.0044549999999997,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.7449730000000003,2.16706,2.0044549999999997,3.777143
20b.sql,0.774127,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.838958,0.9208369999999999,0.774127,0.8010849999999999
20c.sql,0.6726359999999999,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.499361,0.862894,0.6726359999999999,1.300558
21a.sql,0.064179,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.31531299999999995,0.086894,0.095411,0.064179
21b.sql,0.042559,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.25586200000000003,0.058346,0.06322499999999999,0.042559
21c.sql,0.046013,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.245946,0.05778,0.062114,0.046013
22a.sql,0.379708,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.48570599999999997,0.544424,0.476176,0.379708
22b.sql,0.32457800000000003,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.372125,0.41052200000000005,0.34023200000000003,0.32457800000000003
22c.sql,0.566265,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.3238800000000002,0.9395749999999999,1.4257680000000001,0.566265
22d.sql,0.8208740000000001,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.821028,0.9907429999999999,0.8803610000000001,0.8208740000000001
23a.sql,0.267879,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.3693,0.35847,0.267879,0.29338600000000004
23b.sql,0.065383,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.09919,0.091435,0.065383,0.07682900000000001
23c.sql,0.365573,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.430588,0.43412,0.36961599999999994,0.365573
24a.sql,0.274032,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.340182,0.42400200000000005,0.371533,0.274032
24b.sql,0.141461,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.24574000000000001,0.20033,0.26144100000000003,0.141461
25a.sql,3.488284,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.568765,3.488284,3.538972,5.783912
25b.sql,0.41420999999999997,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.059551,0.429236,0.41420999999999997,5.093909
25c.sql,4.013261,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.382783000000001,9.196979999999998,9.081913,4.013261
26a.sql,0.8027299999999999,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.208991,0.8027299999999999,0.93418,1.027667
26b.sql,0.18527900000000003,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.641046,0.414311,0.18527900000000003,0.237698
26c.sql,0.8328250000000001,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.013939,1.3735160000000002,0.8328250000000001,1.5689069999999998
27a.sql,0.08854800000000002,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.180705,0.17037300000000002,0.08854800000000002,0.09088399999999999
27b.sql,0.077085,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.17869500000000002,0.16074,0.077085,0.08395999999999999
27c.sql,0.092012,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.157508,0.160893,0.10299499999999999,0.092012
28a.sql,0.8528910000000001,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.6687150000000002,1.331296,0.89236,0.8528910000000001
28b.sql,0.626965,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.227703,1.090849,0.626965,0.7022390000000001
28c.sql,0.751763,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.883528,1.254692,1.011922,0.751763
29a.sql,2.8624659999999995,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,26.825377999999997,25.586776,2.9958899999999997,2.8624659999999995
29b.sql,2.6090500000000003,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,26.484550000000002,25.515055999999998,2.8993439999999997,2.6090500000000003
29c.sql,3.375723,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,32.740106000000004,32.756715,8.542506,3.375723
2a.sql,0.385967,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.385967,0.457747,0.444083,0.390835
2b.sql,0.369298,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.369298,0.43714400000000003,0.477025,0.370282
2c.sql,0.430653,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.5266390000000001,0.455066,0.430653,0.583277
2d.sql,0.5398729999999999,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.5398729999999999,0.5933290000000001,0.5879570000000001,0.591841
30a.sql,2.640793,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,2.75155,3.8092520000000003,3.933165,2.640793
30b.sql,0.41468399999999994,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.890549000000001,0.51189,0.41468399999999994,2.612292
30c.sql,3.649593,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.335322,3.649593,3.800946,4.2105
31a.sql,0.275355,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.286538,0.340488,0.275355,5.573085999999999
