query_name,fastest_total_time_s,fastest_planning_time_s,fastest_execution_time_s,fastest_source,status,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
33c.sql,0.9874289999999999,0.9656079999999999,0.021821,jn,success,1.032177,0.994421,1.0445539999999998,0.9874289999999999
3a.sql,0.15140199999999998,0.000627,0.150775,cm_jn,success,0.153656,0.16274,0.15140199999999998,0.168768
3b.sql,0.09787799999999999,0.000622,0.097256,cm_jn,success,0.101003,0.09849100000000001,0.09787799999999999,0.10208499999999998
3c.sql,0.236168,0.00063,0.235538,cm_jn,success,0.241168,0.266843,0.236168,0.268295
4a.sql,0.09874999999999999,0.0009649999999999999,0.097785,ce_jn,success,0.10508,0.09874999999999999,0.10297,0.100359
4b.sql,0.049577,0.0009599999999999999,0.048617,ce_jn,success,0.059168,0.049577,0.058891,0.049902
4c.sql,0.09743700000000001,0.0011539999999999999,0.09628300000000001,cm_jn,success,0.09955599999999999,0.11087100000000001,0.09743700000000001,0.113351
5a.sql,0.147429,0.001139,0.14629,ce_jn,success,0.15355,0.147429,0.15718,0.14836699999999997
5b.sql,0.099973,0.001643,0.09833,cm_jn,success,0.107526,0.105876,0.099973,0.10177399999999999
5c.sql,0.37607100000000004,0.0008629999999999999,0.37520800000000004,jn,success,0.385375,0.38243,0.395864,0.37607100000000004
6a.sql,0.023212,0.00102,0.022192,jn,success,0.025042000000000002,0.024345000000000002,0.024002,0.023212
6b.sql,0.24764500000000003,0.000732,0.24691300000000002,jn,success,0.253868,0.25100700000000004,0.25336200000000003,0.24764500000000003
6c.sql,0.008235,0.000945,0.00729,ce_jn,success,0.008323,0.008235,0.008252,0.008237
6d.sql,5.064757,0.000804,5.063953000000001,cm_jn,success,5.09143,6.5743730000000005,5.064757,6.472283999999999
6e.sql,0.014348000000000001,0.000939,0.013409,jn,success,0.01847,0.014515,0.01838,0.014348000000000001
